"No.","Time","Source","Destination","Protocol","Length","Info"
"355259","322.479115","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"355263","322.481289","3.112.3","host","USBAUDIO","96","USB-MIDI Event Packets (SysEx fragment)"
"355265","322.481408","3.112.3","host","SYSEX","80","MIDI System Exclusive Command"
"356747","323.961455","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"356764","323.975521","3.112.3","host","USBAUDIO","96","USB-MIDI Event Packets (SysEx fragment)"
"356766","323.975642","3.112.3","host","SYSEX","80","MIDI System Exclusive Command"
"358179","325.387031","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"358190","325.395514","3.112.3","host","USBAUDIO","92","USB-MIDI Event Packets (SysEx fragment)"
"358192","325.395634","3.112.3","host","SYSEX","84","MIDI System Exclusive Command"
"359535","326.736641","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"359541","326.741002","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"359543","326.741123","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"361131","328.326446","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"361143","328.336239","3.112.3","host","USBAUDIO","68","USB-MIDI Event Packets (SysEx fragment)"
"361145","328.336362","3.112.3","host","USBAUDIO","96","USB-MIDI Event Packets (SysEx fragment)"
"361147","328.336487","3.112.3","host","SYSEX","76","MIDI System Exclusive Command"
"362384","329.571479","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"362387","329.572104","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"362389","329.572229","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"364243","331.424516","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"364245","331.425222","3.112.3","host","USBAUDIO","80","USB-MIDI Event Packets (SysEx fragment)"
"364247","331.425342","3.112.3","host","SYSEX","96","MIDI System Exclusive Command"
"365367","332.542637","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"365370","332.543333","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"365372","332.543456","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"366572","333.742141","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"366575","333.742827","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"366577","333.742948","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"367869","335.032921","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"367871","335.033566","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"367873","335.033690","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"369120","336.277936","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"369123","336.278683","3.112.3","host","USBAUDIO","92","USB-MIDI Event Packets (SysEx fragment)"
"369125","336.278804","3.112.3","host","SYSEX","84","MIDI System Exclusive Command"
"370333","337.484949","host","3.112.3","SYSEX","88","MIDI System Exclusive Command"
"370335","337.485673","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
"370338","337.485829","3.112.3","host","SYSEX","88","MIDI System Exclusive Command"
